rule,stats_1,stats_2,stats_3,stats_4,stats_5,stats_6,stats_7,stats_8,,
B568/S23456,0.0148174249,0.0190291014,0.0194195431,0.0088533574,0.0304136615,,0.0393451375,0.0346572466,0.1575925628,0.05991206
B568/S23456,0.0118130115,0.0077856322,0.007363787,0.0033592633,0.027157943,0.0169260475,0.0257231497,0.0058856068,,
B024/S0123,0.0199653333,0.0129202233,0.0170601817,0.009363658,0.0306399113,0.0243407646,0.0138692774,0.018370173,,
B02345/S0234,0.0365905029,0.0210392533,0.0547546185,0.0336087804,0.0622527695,0.0303973359,0.1097206022,0.0594327612,0.1322233796,
B0178/S12,0.0233066883,0.0061878863,0.0223825854,0.0036346687,0.0771938452,0.0212249213,0.0730122869,0.0130507417,,
B014/S12,0.0929353968,0.0416573834,0.0863308264,0.0126229831,0.1269108611,0.0771602609,0.137097651,0.0367015602,,
B01378/S123,0.0670395737,0.0363488244,0.0523393086,0.0306869755,0.1242105712,0.0939057363,0.0941912657,0.0657930816,,
B0137/S14,0.0624450844,0.0482065483,0.0931729251,0.0226648295,0.1253051418,0.0950328511,0.1628042357,0.0389695105,,
B0136/S123,0.2310056349,0.0672848726,0.1410023887,0.0014821114,0,0,0,0,0.1643497334,0.1449671935
B0136/S0,0.0211732453,0.006664259,0.0356277383,0.0082527361,0.015061185,,0.0466476813,0.0129688857,,
B0136/S0,0.0730435187,0.0142912088,0.0929850666,0.0293300509,0.1447112944,0.0113489668,0.1815764944,0.043910394,,
B013478/S013,0.1090273098,0.0514939243,0.0785518233,0.0285454877,0.1625078741,0.0968685672,0.1136596863,0.0488491248,,
B01347/S0134,0.054358037,0.0622740465,0.0766423948,0.0551295255,0.0397040038,,0.1888990863,0.2246958062,,
B01347/S0134,0.054358037,0.0622740465,0.0766423948,0.0551295255,0.0397040038,0.0397040038,0,,,
B01347/S0134,0.0238226774,0.0236329444,0.0306533458,0.0049183847,0.0424227665,0.0194473782,0.0462328805,0.0080921567,,
B01346/S023,0.0611225094,0.0470167552,0.0703600507,0.0311195788,0.1301629458,0.0752290232,0.1388923069,0.0891337331,0.0746744677,
